"Part";"Value";"Device";"Package";"Description";"CASE";"DIGIKEY";"MANUFACTURER_PART_NUMBER";"MF";"MONTHLY_USAGE";"MPN";"OC_FARNELL";"OC_NEWARK";"PART_NUMBER";"POPULARITY";"PRICE";"PROD_ID";"SPICEPREFIX";"SUPPLIER";"TYPE";"VALUE";"VENDOR";
"+5V_ON";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"732-4982-1-ND";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";
"C1";"0.01uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"311-1572-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"4.7uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"1276-3178-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"4.7uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"1276-3178-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"47uF";"CPOL-USE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, American symbol";"";"PCE3753CT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"47uF";"CPOL-USE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, American symbol";"";"PCE3753CT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"1000u 6.3V";"CPOL-USE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, American symbol";"";"493-2160-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"399-1099-1-ND";"";"";"";"";"";"";"";"73";"";"";"C";"";"";"";"";
"C8";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"399-1099-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"311-3952-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"399-1099-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"399-1099-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"399-1099-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"73";"";"";"C";"";"";"";"";
"C16";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"399-1099-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C17";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"399-1099-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
