"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"R-US_R0603";"R0603";"R16, R17";"RESISTOR, American symbol";"";
"8";"0.1uF";"C-USC0603";"C0603";"C1, C3, C4, C5, C6, C11, C12, C13";"CAPACITOR, American symbol";"";
"1";"100";"R-US_R0603";"R0603";"R25";"RESISTOR, American symbol";"";
"2";"100nF";"C-USC0603";"C0603";"C14, C15";"CAPACITOR, American symbol";"";
"4";"10k";"R-US_R0603";"R0603";"R5, R6, R7, R8";"RESISTOR, American symbol";"";
"3";"10uF";"C-USC0805";"C0805";"C7, C8, C9";"CAPACITOR, American symbol";"";
"1";"120";"R-US_R0603";"R0603";"R11";"RESISTOR, American symbol";"";
"1";"1M";"R-US_R0603";"R0603";"R2";"RESISTOR, American symbol";"";
"3";"1k";"R-US_R0603";"R0603";"R15, R19, R21";"RESISTOR, American symbol";"";
"1";"1uF";"C-USC0805";"C0805";"C10";"CAPACITOR, American symbol";"";
"1";"2.2k";"R-US_R0603";"R0603";"R18";"RESISTOR, American symbol";"";
"4";"4.7k";"R-US_R0603";"R0603";"R3, R4, R12, R13";"RESISTOR, American symbol";"";
"1";"510";"R-US_R0603";"R0603";"R14";"RESISTOR, American symbol";"";
"1";"680uF";"CPOL-USE5-5";"E5-5";"C2";"POLARIZED CAPACITOR, American symbol";"";
"1";"800";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";
"5";"B2PS-VH(LF)(SN)";"B2PS-VH(LF)(SN)";"B2PS-CENTERED";"J2, J3, J4, J5, J6";"Power Connector";"";
"4";"B6B-EH-A(LF)(SN)";"B6B-EH-A(LF)(SN)";"B6BEHALFSN";"X4, X8, X9, X12";"";"";
"1";"BMI088";"BMI088";"BMI088";"U6";"";"";
"2";"ERJ-L06KF50MVRC0805N-L";"ERJ-L06KF50MVRC0805N-L";"RC0805N-L";"R9, R10";"";"";
"2";"GREEN";"LED-BLUE0603";"LED-0603";"D2, D3";"Blue SMD LED";"";
"2";"GREEN";"LED-GREEN0603";"LED-0603";"D4, D5";"Green SMD LED";"";
"2";"INA198AIDBVR";"INA198AIDBVR";"DBV5";"U3, U7";"";"";
"1";"MBED1768";"SPARKFUN-BOARDS_MBED_NXP_LPC1768";"SPARKFUN-BOARDS_DIL40_0.9";"A1";"mbed LPC1768 board footprint";"";
"1";"MCP2562-I/SN";"MCP2562-I/SN";"SOIC8-N_MC";"U5";"";"";
"1";"MINI-USB_SHIELD5P4-32005-400";"MINI-USB_SHIELD5P4-32005-400";"32005-400";"X1";"MINI USB-B R/A W/O POST 5 pol.";"";
"1";"R-78E5.0-1.0";"R-78E5.0-1.0";"R-78E";"T1";"";"";
"1";"RED";"LED-BLUE0603";"LED-0603";"D1";"Blue SMD LED";"";
"1";"S3B-EH(LF)(SN)";"S3B-EH(LF)(SN)";"S3BEHLFSN";"X11";"";"";
"1";"S3B-VH";"S3B-VH";"S3B-VH";"J1";"";"";
"2";"S5B-EH";"S5B-EH";"S5BEHLFSN";"X2, X3";"";"";
"1";"S6B-EH(LF)(SN)";"S6B-EH(LF)(SN)";"S4BEHLFSN";"X10";"";"";
"1";"SI-50170";"SI-50170";"SI-50170";"X7";"Ethernet Connector MagJack (R)";"";
"1";"STT4P3LLH6";"STT4P3LLH6";"SOT23-6";"Q4";"";"";
"1";"TC4427ACOA713";"TC4427ACOA713";"SOIC-8";"U1";"";"";
"1";"TLV70233DBVR";"TLV70233DBVR";"SOT-23-5";"U4";"";"";
"1";"TXB0106PWRPW16-M";"TXB0106PWRPW16-M";"PW16-M";"U2";"";"";
