Qty;Value;Description;Parts;DigiKey P/N
6;0.1uF;Capacitor;C1;In Shop
1;1000;Resistor;R9;A126400CT-ND
4;10uF;Capacitor;C11, C12, C13, C14;445-14417-1-ND
1;1800;Resistor;R8;P1.8KBZCT-ND
7;200;Resistor;R5, R6, R11, R12, R13, R14, R15;RNCP0603FTD200RCT-ND
2;2510-;OSMC Output;X7, X8;ED1543-ND
5;2700;Resistor;R1, R2, R3, R4, R17;A126407CT-ND
4;30;Resistor;R21, R22, R23, R24;RHM30DCT-ND
7;4.7k;Resistor;R25, R27, R28, R29, R10, R18, R19;A126410CT-ND
1;50;Resistor;R7;
2;470;Resistor;R16, R39, R40;311-470GRCT-ND
1;MPU-9250;IMU;U2;1428-1019-1-ND
2;BLUE;Blue LED;D4;732-4966-1-ND
1;C-GRID-02-70553;C-GRID-02-70553;X4;
2;C-GRID-05-15-91;Encoder Input;X1, X2;WM1378-ND
2;GREEN;Green LED;D1, D2;732-4971-1-ND
1;MBED1768;mBed LPC1768;A1;In Shop
1;MINI-USB_SHIELD5P4-32005-400;Mini USB;X3;In Shop
2;MOCD208M;Optoisolators;OK3, OK4;MOCD208M-ND
1;AZ2940D-3.3;3.3V Regulator;T3;
1;AZ2940D-5.0;5V Regulator;T1;AZ2940D-5.0TRE1DICT-ND
1;SI-50170;Ethernet Connector;X5;380-1103-ND
1;Safety Light;Safety Light Connector;J2;
;;Safety Light Transistor;;
;;Underglow Transistors;;
1;TXB0104DR;Level Shifter;U1;296-21928-1-ND
1;Under Glow;Underglow Connector;J1;
1;Yellow;Yellow LED;D3;
